h5_relative_path,volume,slice_index,label0_pxl_cnt,label1_pxl_cnt,label2_pxl_cnt,whole_tumor_pixels,has_tumor,eligible_br_lora_slice,image_channel,image_channel_index,label_rule,image_role,source_cohort
volume_1_slice_0.h5,1,0,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_1.h5,1,1,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_2.h5,1,2,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_3.h5,1,3,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_4.h5,1,4,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_5.h5,1,5,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_6.h5,1,6,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_7.h5,1,7,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_8.h5,1,8,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_9.h5,1,9,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_10.h5,1,10,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_11.h5,1,11,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_12.h5,1,12,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_13.h5,1,13,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_14.h5,1,14,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_15.h5,1,15,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_16.h5,1,16,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_17.h5,1,17,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_18.h5,1,18,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_19.h5,1,19,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_20.h5,1,20,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_21.h5,1,21,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_22.h5,1,22,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_23.h5,1,23,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_24.h5,1,24,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_25.h5,1,25,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_26.h5,1,26,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_27.h5,1,27,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_28.h5,1,28,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_29.h5,1,29,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_30.h5,1,30,0,4,0,4,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_31.h5,1,31,0,83,0,83,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_32.h5,1,32,0,201,0,201,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_33.h5,1,33,0,262,0,262,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_34.h5,1,34,0,301,0,301,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_35.h5,1,35,0,347,0,347,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_36.h5,1,36,0,439,0,439,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_37.h5,1,37,0,526,0,526,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_38.h5,1,38,0,588,0,588,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_39.h5,1,39,0,586,47,633,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_40.h5,1,40,0,560,91,651,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_41.h5,1,41,42,589,116,747,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_42.h5,1,42,74,712,161,947,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_43.h5,1,43,154,687,184,1025,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_44.h5,1,44,233,665,223,1121,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_45.h5,1,45,248,665,241,1154,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_46.h5,1,46,288,633,281,1202,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_47.h5,1,47,312,690,355,1357,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_48.h5,1,48,294,879,476,1649,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_49.h5,1,49,315,1111,548,1974,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
volume_1_slice_50.h5,1,50,362,1072,741,2175,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training
